================================================================================
OPTİMİZASYON BAŞARILI — OPTIMAL
================================================================================

13_Mayis | Kocaeli-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kocaeli-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kocaeli-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kocaeli-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kocaeli-Mersin | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kocaeli-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Kocaeli-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Kocaeli-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Kocaeli-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Kocaeli-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Kocaeli-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Kocaeli-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Kocaeli-Eskişehir | Kamyon: Kiralık=1, Spot=0 (Toplam 12000 desi)
11_Mayis | Kocaeli-Eskişehir | Kamyonet: Kiralık=0, Spot=1 (Toplam 5600 desi)
12_Mayis | Kocaeli-Eskişehir | Kamyon: Kiralık=1, Spot=0 (Toplam 12000 desi)
12_Mayis | Kocaeli-Eskişehir | Kamyonet: Kiralık=0, Spot=1 (Toplam 5600 desi)
13_Mayis | Kocaeli-Eskişehir | Kamyon: Kiralık=1, Spot=0 (Toplam 12000 desi)
13_Mayis | Kocaeli-Eskişehir | Kamyonet: Kiralık=0, Spot=1 (Toplam 5600 desi)
14_Mayis | Kocaeli-Eskişehir | Kamyon: Kiralık=1, Spot=0 (Toplam 12000 desi)
14_Mayis | Kocaeli-Eskişehir | Kamyonet: Kiralık=0, Spot=1 (Toplam 5600 desi)
15_Mayis | Kocaeli-Eskişehir | Kamyon: Kiralık=1, Spot=0 (Toplam 12000 desi)
15_Mayis | Kocaeli-Eskişehir | Kamyonet: Kiralık=0, Spot=1 (Toplam 5600 desi)
16_Mayis | Kocaeli-Eskişehir | Kamyon: Kiralık=1, Spot=0 (Toplam 12000 desi)
16_Mayis | Kocaeli-Eskişehir | Kamyonet: Kiralık=0, Spot=1 (Toplam 5600 desi)
